Date,Open,High,Low,Close,Adj Close,Volume
2025-02-03,110.18,110.86,108.1,108.73,108.73,631755
2025-02-04,110.17,110.85,109.07,110.26,110.26,1398574
2025-02-05,110.42,112.73,107.71,110.6,110.6,1519204
2025-02-06,111.74,114.26,110.76,111.1,111.1,2307959
2025-02-07,110.52,112.05,107.86,108.09,108.09,912794
2025-02-08,106.33,108.65,103.83,104.36,104.36,1303587
2025-02-09,103.12,104.74,101.57,102.45,102.45,1547764
2025-02-10,103.95,104.64,101.43,104.18,104.18,910658
2025-02-11,102.38,105.38,99.79,105.21,105.21,1491447
2025-02-12,103.88,105.59,102.85,103.95,103.95,745934
2025-02-13,102.61,103.12,101.13,102.97,102.97,2408443
2025-02-14,102.11,104.35,99.78,103.36,103.36,2541247
2025-02-15,101.98,103.22,99.06,101.47,101.47,2774131
2025-02-16,99.71,100.99,99.08,99.99,99.99,2727704
2025-02-17,98.62,101.52,97.92,98.59,98.59,2995758
2025-02-18,96.86,99.51,95.35,99.27,99.27,2889391
2025-02-19,98.25,100.24,96.2,97.89,97.89,2948099
2025-02-20,98.15,99.44,97.0,98.63,98.63,1817782
2025-02-21,97.58,99.07,95.4,96.5,96.5,1826143
2025-02-22,98.22,101.06,97.7,99.79,99.79,2861366
2025-02-23,101.77,102.45,100.74,101.19,101.19,1963849
2025-02-24,102.71,105.41,101.29,101.94,101.94,2778421
2025-02-25,102.75,104.78,99.78,103.05,103.05,532812
2025-02-26,103.72,105.61,100.89,101.38,101.38,1063257
2025-02-27,100.44,103.16,98.08,98.87,98.87,1681771
2025-02-28,99.29,101.58,98.28,100.37,100.37,1607228
2025-03-01,100.39,101.52,97.62,97.82,97.82,2276605
2025-03-02,99.14,99.75,97.81,98.06,98.06,1598720
2025-03-03,96.71,98.31,94.45,96.62,96.62,969233
2025-03-04,94.92,97.63,92.16,95.14,95.14,2048604
2025-03-05,95.47,96.34,94.65,95.17,95.17,667331
2025-03-06,96.77,97.8,95.65,95.87,95.87,2848321
2025-03-07,97.41,98.93,95.36,95.91,95.91,1492948
2025-03-08,97.37,100.31,94.84,99.66,99.66,603961
2025-03-09,98.38,101.19,95.92,98.09,98.09,1540888
2025-03-10,97.16,99.63,96.39,99.22,99.22,2474217
2025-03-11,98.11,100.65,96.46,97.74,97.74,1454604
2025-03-12,96.63,98.78,95.13,96.15,96.15,791171
2025-03-13,98.02,99.22,95.92,97.24,97.24,2749051
2025-03-14,96.56,97.13,93.87,94.72,94.72,2935169
2025-03-15,96.57,97.73,95.8,96.64,96.64,1815658
2025-03-16,96.39,99.35,95.6,98.97,98.97,1297248
2025-03-17,97.99,100.26,97.49,100.05,100.05,2758431
2025-03-18,100.8,103.65,98.46,99.48,99.48,2308992
2025-03-19,97.76,99.92,96.43,97.53,97.53,1022716
2025-03-20,98.41,99.66,97.14,98.17,98.17,2187789
2025-03-21,98.96,100.85,97.98,99.89,99.89,2090250
2025-03-22,100.6,103.36,98.56,100.0,100.0,2798215
2025-03-23,101.33,102.59,100.3,102.1,102.1,1851611
2025-03-24,101.96,103.57,100.93,102.18,102.18,1211737
2025-03-25,102.82,104.03,100.66,102.75,102.75,891694
2025-03-26,104.02,106.4,101.84,102.86,102.86,1335211
2025-03-27,101.45,102.07,98.49,100.68,100.68,805463
2025-03-28,100.5,103.22,98.56,101.91,101.91,2110522
2025-03-29,101.89,103.0,99.75,99.77,99.77,947059
2025-03-30,100.88,101.93,98.37,100.85,100.85,2448463
2025-03-31,99.05,100.17,96.43,98.14,98.14,2448854
2025-04-01,98.81,101.78,96.82,101.53,101.53,2356287
2025-04-02,101.98,104.28,100.22,103.59,103.59,2797941
2025-04-03,103.37,104.27,100.72,102.32,102.32,1536998
2025-04-04,103.68,104.87,101.24,103.0,103.0,1503469
2025-04-05,102.1,102.79,100.89,101.41,101.41,1840959
2025-04-06,102.98,103.68,102.1,102.71,102.71,1140911
2025-04-07,103.54,104.2,102.02,103.2,103.2,2243883
2025-04-08,101.45,104.03,99.98,103.1,103.1,581922
2025-04-09,104.53,106.94,103.08,103.1,103.1,1975383
2025-04-10,102.29,103.76,99.56,103.07,103.07,2757460
